Scenario;Asimmetria;Approach;Profile;Diagnostic_Effectiveness;Conversational_Coherence;Extraction_Completeness;Conversational_Efficiency;Knowledge_Origin;Protocol_Adherence;Conversational_Adaptability;Task_Success_Index;Diagnostic_Initiative_Index;Lexical_Adaptation_Index
A;1;A;Collaborativo;Si;No;4;7;MIXED;2;3;2;1;3
A;2;A;Collaborativo;Si;Si;4;8;MIXED;4;3;3;1;3
A;3;A;Collaborativo;Si;Si;4;10;MIXED;2;3;2;3;3
B;1;A;Collaborativo;Si;No;4;8;TACIT;2;4;3;1;3
B;2;A;Collaborativo;Si;Si;4;8;MIXED;5;5;4;1;3
B;3;A;Collaborativo;Si;Si;4;8;MIXED;4;3;3;1;3
C;1;A;Collaborativo;Si;Si;4;8;MIXED;2;1;2;1;3
C;2;A;Collaborativo;Si;Si;4;8;TACIT;5;5;4;1;3
C;3;A;Collaborativo;Si;No;4;9;TACIT;5;5;4;1;3
A;1;A;Confuso;No;Si;1;9;MIXED;2;2;1;1;3
A;2;A;Confuso;No;No;1;10;TACIT;4;5;3;2;3
A;3;A;Confuso;Si;Si;3;9;MIXED;3;4;3;2;3
B;1;A;Confuso;No;Si;1;9;EXPLICIT;2;3;1;2;1
B;2;A;Confuso;No;Si;2;7;EXPLICIT;2;1;1;1;3
B;3;A;Confuso;No;Si;1;8;TACIT;2;3;1;2;1
C;1;A;Confuso;No;Si;1;9;TACIT;4;5;2;2;3
C;2;A;Confuso;No;No;1;8;TACIT;2;1;1;1;2
C;3;A;Confuso;No;No;1;8;TACIT;2;1;1;1;1
A;1;A;Riluttante;Si;Si;3;9;TACIT;4;5;4;2;2
A;2;A;Riluttante;Si;Si;2;9;TACIT;4;1;3;2;2
B;1;A;Riluttante;Si;Si;2;8;MIXED;3;1;3;1;1
B;2;A;Riluttante;Si;Si;3;8;MIXED;4;4;4;1;3
B;3;A;Riluttante;Si;No;2;8;MIXED;3;1;3;1;3
C;1;A;Riluttante;Si;Si;2;8;TACIT;3;1;2;1;3
C;2;A;Riluttante;Si;Si;2;8;TACIT;3;2;3;1;3
C;3;A;Riluttante;Si;Si;2;8;TACIT;3;1;2;1;2
A;1;A;Preciso;Si;Si;4;7;TACIT;2;2;3;1;3
A;2;A;Preciso;Si;Si;4;8;TACIT;2;1;2;1;3
A;3;A;Preciso;Si;No;4;8;MIXED;5;4;4;1;3
B;1;A;Preciso;Si;Si;4;8;TACIT;3;3;3;1;3
B;2;A;Preciso;Si;Si;4;9;TACIT;3;1;2;1;3
B;3;A;Preciso;Si;No;4;8;TACIT;2;2;2;1;3
C;1;A;Preciso;Si;Si;4;7;TACIT;5;5;4;1;3
C;2;A;Preciso;Si;No;4;6;MIXED;4;5;4;1;3
C;3;A;Preciso;Si;Si;4;7;TACIT;5;3;4;1;3
A;1;A;Collaborativo;Si;Si;4;7;TACIT;2;2;2;1;3
A;2;A;Collaborativo;Si;Si;4;8;MIXED;4;4;3;1;3
A;3;A;Collaborativo;Si;Si;4;9;TACIT;3;4;2;3;3
B;1;A;Collaborativo;Si;Si;4;9;TACIT;5;5;4;1;3
B;2;A;Collaborativo;Si;Si;4;8;TACIT;5;5;4;1;3
B;3;A;Collaborativo;Si;Si;4;8;MIXED;2;3;2;1;3
C;1;A;Collaborativo;Si;Si;4;8;MIXED;2;3;2;1;3
C;2;A;Collaborativo;Si;Si;4;8;TACIT;4;3;4;1;3
C;3;A;Collaborativo;Si;Si;3;8;TACIT;3;3;3;1;3
A;1;A;Confuso;Si;Si;3;11;TACIT;2;5;3;2;3
A;2;A;Confuso;No;Si;2;8;MIXED;2;3;2;2;3
A;3;A;Confuso;No;Si;1;8;TACIT;2;1;1;1;3
B;2;A;Confuso;No;No;2;9;MIXED;2;3;1;2;3
B;3;A;Confuso;Si;Si;2;8;MIXED;2;1;2;1;3
B;1;A;Confuso;Si;Si;3;9;TACIT;3;4;2;2;3
C;2;A;Confuso;Si;Si;3;10;MIXED;5;5;3;2;3
C;3;A;Confuso;No;No;1;8;EXPLICIT;2;1;1;1;1
C;1;A;Confuso;Si;No;3;9;MIXED;5;3;2;2;3
A;2;A;Riluttante;Si;Si;3;9;TACIT;5;5;4;3;3
A;3;A;Riluttante;Si;Si;3;8;TACIT;3;4;4;1;2
A;1;A;Riluttante;Si;Si;3;10;TACIT;4;4;3;3;3
B;2;A;Riluttante;Si;Si;2;8;TACIT;4;1;2;1;3
B;3;A;Riluttante;Si;Si;2;7;TACIT;2;2;2;1;3
B;1;A;Riluttante;Si;Si;3;8;MIXED;2;1;2;1;3
C;2;A;Riluttante;Si;Si;2;8;TACIT;5;2;2;1;3
C;3;A;Riluttante;Si;Si;2;8;TACIT;4;2;2;1;3
C;1;A;Riluttante;Si;Si;2;9;TACIT;2;2;2;2;3
A;2;A;Preciso;Si;No;4;8;MIXED;2;1;2;1;3
A;3;A;Preciso;Si;Si;4;7;MIXED;4;5;4;1;3
A;2;A;Preciso;Si;No;4;7;TACIT;4;4;3;1;3
B;3;A;Preciso;Si;No;4;8;MIXED;5;5;2;1;3
B;1;A;Preciso;Si;Si;4;8;TACIT;2;2;3;1;3
B;2;A;Preciso;Si;Si;4;8;TACIT;3;3;2;1;3
C;3;A;Preciso;Si;Si;4;8;MIXED;2;1;2;1;3
C;1;A;Preciso;Si;Si;4;8;TACIT;5;5;4;1;3
C;2;A;Preciso;Si;No;4;8;TACIT;3;5;3;1;3
A;3;B;Collaborativo;Si;No;3;5;MIXED;4;1;4;1;3
A;1;B;Collaborativo;Si;Si;3;5;MIXED;5;2;4;1;3
A;2;B;Collaborativo;Si;Si;3;4;MIXED;5;5;4;1;3
B;3;B;Collaborativo;Si;Si;4;4;TACIT;5;1;4;1;3
B;1;B;Collaborativo;Si;Si;4;6;MIXED;5;2;4;1;3
B;2;B;Collaborativo;Si;Si;4;5;MIXED;5;2;4;1;2
C;3;B;Collaborativo;Si;Si;4;5;TACIT;5;1;4;1;3
C;1;B;Collaborativo;Si;Si;4;4;MIXED;5;1;4;1;3
C;2;B;Collaborativo;Si;Si;3;5;TACIT;5;1;4;1;2
A;3;B;Confuso;Si;Si;2;8;TACIT;4;4;4;2;2
A;2;B;Confuso;No;Si;1;5;MIXED;5;3;3;2;2
A;3;B;Confuso;Si;Si;2;5;MIXED;4;5;4;2;1
B;1;B;Confuso;No;Si;2;4;MIXED;3;1;2;1;1
B;2;B;Confuso;No;Si;2;8;MIXED;5;5;3;2;2
B;3;B;Confuso;Si;No;3;6;MIXED;5;5;4;2;3
C;1;B;Confuso;No;Si;2;7;MIXED;5;4;4;2;3
C;2;B;Confuso;No;Si;2;4;MIXED;2;1;2;1;1
C;3;B;Confuso;No;Si;1;4;MIXED;3;1;3;1;2
A;1;B;Riluttante;Si;Si;2;5;MIXED;5;1;4;1;1
A;2;B;Riluttante;Si;Si;2;4;MIXED;4;1;4;1;2
A;3;B;Riluttante;Si;Si;2;4;MIXED;4;1;4;1;1
B;1;B;Riluttante;Si;Si;2;6;TACIT;4;1;4;1;2
B;2;B;Riluttante;Si;Si;2;5;MIXED;5;1;4;1;3
B;3;B;Riluttante;Si;Si;2;4;MIXED;4;1;3;1;2
C;1;B;Riluttante;Si;Si;2;5;MIXED;5;1;4;1;2
C;2;B;Riluttante;Si;Si;2;5;MIXED;4;1;3;1;2
C;3;B;Riluttante;Si;Si;2;4;TACIT;5;1;4;1;2
A;2;B;Preciso;Si;No;4;5;MIXED;5;2;4;1;3
A;3;B;Preciso;Si;Si;4;4;MIXED;5;2;4;1;3
A;1;B;Preciso;Si;Si;4;4;MIXED;5;5;4;1;3
B;2;B;Preciso;Si;Si;4;5;TACIT;5;1;4;1;3
B;3;B;Preciso;Si;Si;4;5;TACIT;5;5;4;1;3
B;1;B;Preciso;Si;Si;4;4;MIXED;5;1;4;1;3
C;2;B;Preciso;Si;Si;4;5;MIXED;5;5;4;1;3
C;3;B;Preciso;Si;Si;4;4;MIXED;5;3;2;1;3
C;1;B;Preciso;Si;Si;4;4;TACIT;5;1;4;1;3
A;2;B;Collaborativo;Si;Si;3;5;MIXED;5;1;4;1;3
A;3;B;Collaborativo;Si;Si;4;5;MIXED;5;1;4;1;2
A;1;B;Collaborativo;Si;Si;4;5;MIXED;5;1;4;1;2
B;2;B;Collaborativo;Si;Si;3;5;MIXED;4;1;4;1;3
B;3;B;Collaborativo;Si;Si;4;4;MIXED;5;5;4;1;3
B;1;B;Collaborativo;Si;Si;4;5;TACIT;5;2;4;1;3
C;2;B;Collaborativo;Si;Si;4;4;MIXED;5;1;4;1;3
C;3;B;Collaborativo;Si;Si;4;5;MIXED;5;1;4;1;2
C;2;B;Collaborativo;Si;No;4;5;TACIT;5;1;4;1;3
A;3;B;Confuso;No;Si;2;6;MIXED;5;5;3;2;1
A;1;B;Confuso;Si;Si;3;6;MIXED;4;5;4;2;1
A;2;B;Confuso;Si;Si;2;7;MIXED;5;5;4;2;2
B;3;B;Confuso;No;Si;1;8;EXPLICIT;4;3;2;2;3
B;1;B;Confuso;Si;Si;3;8;MIXED;5;4;4;2;2
B;2;B;Confuso;No;Si;2;6;MIXED;5;4;4;2;2
C;3;B;Confuso;No;Si;3;7;MIXED;5;4;4;2;3
C;1;B;Confuso;No;Si;1;9;MIXED;4;5;3;2;2
C;2;B;Confuso;Si;No;3;6;MIXED;5;4;4;2;3
A;3;B;Riluttante;Si;Si;2;4;TACIT;4;1;4;1;1
A;1;B;Riluttante;Si;Si;2;5;TACIT;5;1;4;1;2
A;2;B;Riluttante;Si;Si;2;4;EXPLICIT;5;1;4;1;1
B;3;B;Riluttante;Si;Si;2;4;MIXED;4;1;4;1;2
B;1;B;Riluttante;Si;Si;2;5;MIXED;4;1;4;1;2
B;2;B;Riluttante;Si;Si;2;5;MIXED;5;1;4;1;2
C;3;B;Riluttante;Si;Si;2;4;EXPLICIT;4;4;4;1;2
C;2;B;Riluttante;Si;Si;2;5;MIXED;4;1;4;1;1
C;3;B;Riluttante;Si;Si;2;5;MIXED;5;1;4;1;3
A;1;B;Preciso;Si;Si;4;4;MIXED;5;1;4;1;3
A;2;B;Preciso;Si;Si;3;5;MIXED;5;1;4;1;3
A;3;B;Preciso;Si;Si;4;6;MIXED;5;5;4;1;3
B;1;B;Preciso;Si;No;4;5;TACIT;5;1;4;1;3
B;2;B;Preciso;Si;Si;4;5;MIXED;5;2;4;1;3
B;3;B;Preciso;Si;Si;4;6;MIXED;5;1;4;1;3
C;1;B;Preciso;Si;Si;4;5;MIXED;5;5;4;1;3
C;2;B;Preciso;Si;No;4;5;MIXED;5;4;4;1;3
C;3;B;Preciso;Si;Si;3;5;TACIT;5;5;4;1;3
A;2;C;Collaborativo;Si;Si;4;10;MIXED;5;5;4;3;3
A;3;C;Collaborativo;Si;Si;4;8;MIXED;5;5;4;3;2
A;1;C;Collaborativo;Si;Si;4;8;MIXED;5;5;4;3;3
B;2;C;Collaborativo;Si;No;4;10;MIXED;5;5;4;3;3
B;3;C;Collaborativo;Si;Si;3;10;MIXED;5;5;4;3;2
B;1;C;Collaborativo;Si;Si;2;7;MIXED;3;1;2;1;3
C;2;C;Collaborativo;Si;Si;3;7;MIXED;5;4;4;3;2
C;3;C;Collaborativo;Si;Si;4;10;MIXED;5;4;4;3;2
C;2;C;Collaborativo;Si;No;2;7;MIXED;2;2;2;1;3
A;3;C;Confuso;Si;Si;3;10;MIXED;5;1;4;3;3
A;1;C;Confuso;Si;Si;3;8;MIXED;5;5;4;3;3
A;2;C;Confuso;Si;No;3;14;MIXED;2;5;2;3;1
B;3;C;Confuso;Si;Si;3;10;MIXED;5;5;4;3;1
B;1;C;Confuso;Si;No;3;6;MIXED;4;4;2;3;1
B;2;C;Confuso;Si;Si;4;11;MIXED;2;4;2;3;1
C;3;C;Confuso;Si;Si;3;10;MIXED;5;2;4;3;3
C;1;C;Confuso;Si;No;3;10;MIXED;5;4;4;3;3
C;2;C;Confuso;Si;Si;3;6;MIXED;5;5;4;2;1
A;3;C;Riluttante;Si;No;3;8;MIXED;5;4;4;3;3
A;1;C;Riluttante;Si;Si;4;7;EVALUATION_FAILED;4;1;3;3;3
A;2;C;Riluttante;Si;No;4;8;MIXED;5;4;4;3;3
B;3;C;Riluttante;Si;Si;3;8;MIXED;5;5;4;3;3
B;1;C;Riluttante;Si;No;2;7;TACIT;3;2;3;3;2
B;2;C;Riluttante;Si;Si;3;8;MIXED;5;4;4;3;3
C;3;C;Riluttante;Si;Si;3;8;MIXED;5;5;4;3;3
C;2;C;Riluttante;Si;Si;4;13;MIXED;4;4;2;3;3
C;3;C;Riluttante;Si;No;3;7;MIXED;4;1;3;1;2
A;1;C;Preciso;Si;No;4;34;TACIT;5;5;2;3;3
A;2;C;Preciso;Si;No;4;15;TACIT;5;3;2;1;3
A;3;C;Preciso;Si;No;4;10;MIXED;4;5;4;3;3
B;1;C;Preciso;Si;Si;4;19;MIXED;4;5;2;3;3
B;2;C;Preciso;Si;No;4;18;TACIT;5;4;2;3;3
B;3;C;Preciso;Si;No;4;27;TACIT;4;5;3;2;3
C;1;C;Preciso;Si;No;4;7;TACIT;5;4;2;3;3
C;2;C;Preciso;Si;No;4;12;TACIT;5;5;3;3;3
C;3;C;Preciso;Si;No;4;45;TACIT;5;5;2;3;3
A;2;C;Collaborativo;Si;Si;2;6;MIXED;2;1;2;1;2
A;3;C;Collaborativo;Si;Si;3;8;MIXED;5;5;4;3;3
A;1;C;Collaborativo;Si;Si;4;8;MIXED;5;4;4;3;3
B;2;C;Collaborativo;Si;No;2;7;MIXED;3;1;2;1;2
B;3;C;Collaborativo;Si;Si;3;10;MIXED;5;1;4;3;3
B;1;C;Collaborativo;Si;Si;3;8;MIXED;5;4;4;3;3
C;2;C;Collaborativo;Si;Si;4;8;MIXED;5;5;4;3;3
C;3;C;Collaborativo;Si;Si;3;8;EXPLICIT;5;5;4;3;3
C;2;C;Collaborativo;Si;No;4;6;TACIT;5;5;4;3;3
A;3;C;Confuso;Si;Si;3;9;EXPLICIT;5;1;4;3;1
A;1;C;Confuso;Si;No;3;23;MIXED;2;1;2;2;3
A;2;C;Confuso;Si;Si;3;8;MIXED;5;4;4;3;3
B;3;C;Confuso;Si;Si;4;7;MIXED;5;5;3;3;1
B;1;C;Confuso;Si;Si;3;11;MIXED;5;5;4;3;1
B;2;C;Confuso;No;No;2;8;EXPLICIT;5;5;4;2;3
